# E/N (Td)	Townsend ioniz. coef. alpha/N (m2)
0.3563E+06	0.5944E-19
0.3629E+06	0.6052E-19
0.3695E+06	0.6162E-19
0.3763E+06	0.6274E-19
0.3832E+06	0.6388E-19
0.3902E+06	0.6504E-19
0.3973E+06	0.6623E-19
0.4046E+06	0.6743E-19
0.4120E+06	0.6866E-19
0.4196E+06	0.6991E-19
0.4273E+06	0.7119E-19
0.4351E+06	0.7248E-19
0.4431E+06	0.7380E-19
0.4512E+06	0.7515E-19
0.4595E+06	0.7652E-19
0.4679E+06	0.7791E-19
0.4765E+06	0.7933E-19
0.4852E+06	0.8078E-19
0.4941E+06	0.8225E-19
0.5031E+06	0.8376E-19
0.5124E+06	0.8528E-19
0.5217E+06	0.8684E-19
0.5313E+06	0.8843E-19
0.5410E+06	0.9004E-19
0.5510E+06	0.9168E-19
0.5610E+06	0.9336E-19
0.5713E+06	0.9506E-19
0.5818E+06	0.9680E-19
0.5925E+06	0.9857E-19
0.6033E+06	0.1004E-18
0.6144E+06	0.1022E-18
0.6256E+06	0.1041E-18
0.6371E+06	0.1060E-18
0.6488E+06	0.1079E-18
0.6607E+06	0.1099E-18
0.6728E+06	0.1119E-18
0.6851E+06	0.1139E-18
0.6976E+06	0.1160E-18
0.7104E+06	0.1181E-18
0.7234E+06	0.1203E-18
0.7367E+06	0.1225E-18
0.7502E+06	0.1247E-18
0.7639E+06	0.1270E-18
0.7779E+06	0.1293E-18
0.7922E+06	0.1317E-18
0.8067E+06	0.1341E-18
0.8215E+06	0.1366E-18
0.8366E+06	0.1391E-18
0.8519E+06	0.1416E-18
0.8675E+06	0.1442E-18
0.8834E+06	0.1469E-18
0.8996E+06	0.1495E-18
0.9161E+06	0.1523E-18
0.9329E+06	0.1551E-18
0.9499E+06	0.1579E-18
0.9674E+06	0.1608E-18
0.9851E+06	0.1637E-18
0.1003E+07	0.1667E-18
0.1022E+07	0.1698E-18
0.1040E+07	0.1729E-18
0.1059E+07	0.1761E-18
0.1079E+07	0.1793E-18
0.1098E+07	0.1826E-18
0.1119E+07	0.1859E-18
0.1139E+07	0.1893E-18
0.1160E+07	0.1928E-18
0.1181E+07	0.1963E-18
0.1203E+07	0.1999E-18
0.1225E+07	0.2036E-18
0.1247E+07	0.2073E-18
0.1270E+07	0.2111E-18
0.1293E+07	0.2149E-18
0.1317E+07	0.2189E-18
0.1341E+07	0.2229E-18
0.1366E+07	0.2270E-18
0.1391E+07	0.2311E-18
0.1416E+07	0.2354E-18
0.1442E+07	0.2397E-18
0.1469E+07	0.2441E-18
0.1496E+07	0.2485E-18
0.1523E+07	0.2531E-18
0.1551E+07	0.2577E-18
0.1579E+07	0.2624E-18
0.1608E+07	0.2672E-18
0.1638E+07	0.2721E-18
0.1668E+07	0.2771E-18
0.1698E+07	0.2822E-18
0.1730E+07	0.2874E-18
0.1761E+07	0.2926E-18
0.1794E+07	0.2980E-18
0.1826E+07	0.3035E-18
0.1860E+07	0.3090E-18
0.1894E+07	0.3147E-18
0.1929E+07	0.3204E-18
0.1964E+07	0.3263E-18
0.2000E+07	0.3323E-18
